_Id,_PostId,_VoteTypeId,_CreationDate
496,147,2,2016-05-08T00:00:00.000
557,147,2,2016-06-12T00:00:00.000
635,147,2,2016-11-18T00:00:00.000
992,147,2,2018-08-11T00:00:00.000
1000,147,2,2018-08-13T00:00:00.000
1118,147,2,2018-10-15T00:00:00.000
1914,147,2,2022-06-05T00:00:00.000
497,148,3,2016-05-08T00:00:00.000
712,148,2,2017-01-02T00:00:00.000
996,148,2,2018-08-13T00:00:00.000
999,148,2,2018-08-13T00:00:00.000
1117,148,2,2018-10-15T00:00:00.000
498,149,2,2016-05-08T00:00:00.000
499,149,2,2016-05-09T00:00:00.000
711,149,2,2017-01-02T00:00:00.000
500,150,2,2016-05-09T00:00:00.000
640,150,2,2016-11-18T00:00:00.000
713,150,2,2017-01-03T00:00:00.000
642,151,2,2016-11-18T00:00:00.000
2060,151,2,2023-04-13T00:00:00.000
2070,151,2,2023-04-14T00:00:00.000
502,152,2,2016-05-10T00:00:00.000
504,153,2,2016-05-11T00:00:00.000
506,153,2,2016-05-12T00:00:00.000
